,CIK Number,Entity Name,Address_1,City,State,Zip Code
0,0000002110,COLUMBIA ACORN TRUST,227 W MONROE STE 3000,CHICAGO,IL,60606
1,0000002646,Voya INTERMEDIATE BOND PORTFOLIO,ING FUNDS SERVICES,SCOTTSDALE,AZ,85258
2,0000002663,VOYA GOVERNMENT MONEY MARKET PORTFOLIO,"7337 E. DOUBLETREE RANCH ROAD, STE 100",SCOTTSDALE,AZ,85258
3,0000002664,Voya VARIABLE FUNDS,"7337 E. DOUBLETREE RANCH ROAD, STE 100",SCOTTSDALE,AZ,85258
4,0000002691,LORD ABBETT AFFILIATED FUND INC,90 HUDSON STREET,JERSEY CITY,NJ,07302
5,0000002768,FRANKLIN HIGH INCOME TRUST,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
6,0000003521,ALGER FUNDS,360 PARK AVENUE SOUTH,NEW YORK,NY,10010
7,0000003794,"AB BOND FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
8,0000004405,AMCAP FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
9,0000004568,AMERICAN BALANCED FUND,6455 IRVINE CENTER DRIVE,IRVINE,CA,92618
10,0000005007,AMERICAN FIDELITY SEPARATE ACCOUNT A,9000 CAMERON PARKWAY,OKLAHOMA CITY,OK,73125
11,0000005100,Invesco Exchange Fund,11 GREENWAY PLAZA,HOUSTON,TX,77046
12,0000005138,AMERICAN GROWTH FUND INC,1636 LOGAN STREET,DENVER,CO,80203
13,0000005506,AMERICAN MUTUAL FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
14,0000008775,SEPARATE ACCOUNT VA B OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
15,0000008776,SEPARATE ACCOUNT VA-C OF COMMONWEALTH ANNUITY& LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
16,0000009713,PRINCIPAL LIFE INSURANCE CO SEPARATE ACCOUNT B,THE PRINCIPAL FINANCIAL GROUP,DES MOINES,IA,50392
17,0000009738,RELIASTAR LIFE INS CO OF NY VAR ANNUITY FUNDS D E F G H & I,1000 WOODBURY ROAD,WOODBURY,NY,11797
18,0000012601,PRINCIPAL VARIABLE CONTRACTS FUNDS INC,711 HIGH STREET,DES MOINES,IA,50392
19,0000013075,BOND FUND OF AMERICA,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
20,0000013386,Federated Hermes Global Allocation Fund,4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
21,0000014170,BRIDGES INVESTMENT FUND INC,8401 W DODGE RD,OMAHA,NE,68114
22,0000016190,AGL SEPARATE ACCOUNT A,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
23,0000019034,AIM FUNDS GROUP (INVESCO FUNDS GROUP),11 GREENWAY PLAZA,HOUSTON,TX,77046
24,0000019614,"AB DISCOVERY GROWTH FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
25,0000019780,CHESTNUT STREET EXCHANGE FUND,103 BELLEVUE PKWY,WILMINGTON,DE,19809
26,0000021166,CML VARIABLE ANNUITY ACCOUNT A,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
27,0000021167,CML VARIABLE ANNUITY ACCOUNT B,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
28,0000022370,JOHN HANCOCK INVESTMENT TRUST,C/O JOHN HANCOCK FUNDS,BOSTON,MA,02116
29,0000024238,FIDELITY CONTRAFUND,245 SUMMER STREET,BOSTON,MA,02210
30,0000026262,JOHN HANCOCK CURRENT INTEREST,C/O JOHN HANCOCK FUNDS,BOSTON,MA,02116
31,0000027574,DELAWARE GROUP EQUITY FUNDS II,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
32,0000027801,DELAWARE GROUP EQUITY FUNDS I,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
33,0000027825,DELAWARE GROUP INCOME FUNDS,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
34,0000028540,FIDELITY OXFORD STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
35,0000029292,"AB RELATIVE VALUE FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
36,0000029440,DODGE & COX FUNDS,555 CALIFORNIA ST,SAN FRANCISCO,CA,94104
37,0000030126,RMB INVESTORS TRUST,115 SOUTH LASALLE STREET,CHICAGO,IL,60603
38,0000030146,"BNY Mellon Large Cap Securities Fund, Inc.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
39,0000030158,"DREYFUS LIQUID ASSETS, INC.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
40,0000030162,"BNY MELLON RESEARCH GROWTH FUND, INC.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
41,0000030167,"BNY Mellon Sustainable U.S. Equity Fund, Inc.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
42,0000031266,EATON VANCE SPECIAL INVESTMENT TRUST,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
43,0000031710,HORACE MANN LIFE INSURANCE CO ALLEGIANCE SEPARATE ACCOUNT A,1 HORACE MANN PLAZA,SPRINGFIELD,IL,62715-0001
44,0000032339,ELFUN TRUSTS,1600 SUMMER STREET,STAMFORD,CT,06905
45,0000034066,VANGUARD EXPLORER FUND,PO BOX 2600,VALLEY FORGE,PA,19482
46,0000034273,VIRTUS EQUITY TRUST,101 MUNSON STEET,GREENFIELD,MA,01301
47,0000034867,FEDERAL LIFE VARIABLE ANNUITY ACCOUNT A,3750 WEST DEERFIELD ROAD,RIVERWOODS,IL,60015
48,0000035315,FIDELITY SALEM STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
49,0000035330,FIDELITY UNION STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
50,0000035331,FIDELITY DESTINY PORTFOLIOS,245 SUMMER STREET,BOSTON,MA,02210
51,0000035341,FIDELITY DEVONSHIRE TRUST,245 SUMMER STREET,BOSTON,MA,02210
52,0000035348,FIDELITY HASTINGS STREET TRUST,245 SUMMER STREET,BOSTON,MA,02110
53,0000035373,FIDELITY MUNICIPAL TRUST,245 SUMMER STREET,BOSTON,MA,02210
54,0000035402,FIDELITY TREND FUND,245 SUMMER STREET,BOSTON,MA,02210
55,0000036405,VANGUARD INDEX FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
56,0000038721,FRANKLIN CUSTODIAN FUNDS,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
57,0000038748,AGL SEPARATE ACCOUNT VA-2,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
58,0000038778,FRANKLIN U.S. GOVERNMENT MONEY FUND,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
59,0000039473,AMERICAN FUNDS FUNDAMENTAL INVESTORS,6455 IRVINE CENTER DRIVE,IRVINE,CA,92618
60,0000040559,GENERAL ELECTRIC RSP U.S. EQUITY FUND,1600 SUMMER STREET,STAMFORD,CT,06905
61,0000044201,GROWTH FUND OF AMERICA,6455 IRVINE CENTER DRIVE,IRVINE,CA,92618
62,0000044402,NEUBERGER BERMAN EQUITY FUNDS,1290 AVENUE OF THE AMERICAS,NEW YORK,NY,10104
63,0000044417,GUARDIAN VARIABLE ACCOUNT 2,"10 HUDSON YARDS, 22 FLOOR",NEW YORK,NY,10001
64,0000044418,GUARDIAN VARIABLE ACCOUNT 1,"10 HUDSON YARDS, 22 FLOOR",NEW YORK,NY,10001
65,0000045156,OPPENHEIMER CAPITAL INCOME FUND,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
66,0000045288,JOHN HANCOCK SOVEREIGN BOND FUND,JOHN HANCOCK FUNDS,BOSTON,MA,02116
67,0000045291,JOHN HANCOCK CAPITAL SERIES,C/O JOHN HANCOCK FUNDS,BOSTON,MA,02116
68,0000045299,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT W,601 CONGRESS STREET,BOSTON,MA,02210
69,0000047071,BRUCE FUND INC,20 N WACKER DR,CHICAGO,IL,60606
70,0000048200,Nassau Life Separate Account B,ONE AMERICAN ROW,HARTFORD,CT,06115
71,0000048203,Nassau Life Separate Account C,ONE AMERICAN ROW,HARTFORD,CT,06115
72,0000048204,Nassau Life Separate Account D,ONE AMERICAN ROW,HARTFORD,CT,06115
73,0000049706,RIVERSOURCE VARIABLE ANNUITY FUND A,50605 AXP FINANCIAL CENTER,MINNEAPOLIS,MN,55474
74,0000049707,RIVERSOURCE VARIABLE ANNUITY FUND B,50605 AXP FINANCIAL CENTER,MINNEAPOLIS,MN,55474
75,0000049905,HARTFORD MUTUAL FUNDS II INC,690 LEE ROAD,WAYNE,PA,19087
76,0000050013,INCOME FUND OF AMERICA,6455 IRVINE CENTER DRIVE,IRVINE,CA,92618
